Customer ID,Recency,Frequency,MonetaryValue,R_score,F_score,M_score,RFM_Segment,RFM_Score,K_Cluster,Churn_Status,Churn_Probability
12376,25,2,503.15,3,2,2,3.02.02.0,7,0,0,3.1904472884296043e-13
12377,17,2,1798.2,4,2,4,4.02.04.0,10,0,0,6.08423021209805e-13
12378,198,1,1407.7,1,1,3,1.01.03.0,5,1,1,0.9794263113299633
12379,58,2,767.98,2,2,3,2.02.03.0,7,0,0,2.0296437087296146e-10
12380,101,7,6951.49,2,4,4,2.04.04.0,10,0,0,4.337138450071111e-06
12385,15,1,1938.4,4,1,4,4.01.04.0,9,0,0,2.624634374897772e-13
12386,2,1,258.9,4,1,1,4.01.01.0,6,0,0,2.212359040582206e-15
12387,51,1,143.94,3,1,1,3.01.01.0,5,0,0,1.5319116267178642e-11
12388,81,2,1120.45,2,2,3,2.02.03.0,7,0,0,1.8578850364173672e-08
12389,38,3,1433.33,3,3,3,3.03.03.0,9,0,0,1.4042716079993918e-11
12391,100,5,2312.53,2,3,4,2.03.04.0,9,0,0,1.7282852411029556e-06
12392,227,1,234.75000000000003,1,1,1,1.01.01.0,3,1,1,0.9996680585160453
12393,18,2,816.85,4,2,3,4.02.03.0,9,0,0,3.3488310452261197e-13
12395,7,4,2048.64,4,3,4,4.03.04.0,11,0,0,1.1342005482943062e-13
12396,310,1,931.43,1,1,3,1.01.03.0,5,1,1,0.9999999999925968
12399,21,3,853.65,3,3,3,3.03.03.0,9,0,0,4.820942251925444e-13
12400,50,1,205.25,3,1,1,3.01.01.0,5,0,0,1.2688621737901443e-11
12402,28,5,1031.3,3,3,3,3.03.03.0,9,0,0,1.2271876115093173e-12
12403,157,1,591.6600000000001,1,1,2,1.01.02.0,4,1,0,0.007407506664003351
12404,318,1,63.24,1,1,1,1.01.01.0,3,1,1,0.9999999999932243
12406,35,3,2975.06,3,3,4,3.03.04.0,10,0,0,1.8320327328405023e-11
12408,21,3,1452.22,3,3,3,3.03.03.0,9,0,0,5.131173136155521e-13
12409,56,4,12346.62,2,3,4,2.03.04.0,9,0,0,1.1661197993789504e-09
12410,138,1,320.38,1,1,2,1.01.02.0,4,0,0,0.0001791727287863024
12411,45,1,346.9,3,1,2,3.01.02.0,6,0,0,9.690747388717629e-12
12412,38,3,1370.05,3,3,3,3.03.03.0,9,0,0,1.3950435121180021e-11
12413,38,1,241.35,3,1,1,3.01.01.0,5,0,0,1.230059595470544e-12
12414,99,3,390.0,2,3,2,2.03.02.0,7,0,0,4.586086276466135e-07
12415,11,7,19543.84,4,4,4,4.04.04.0,12,0,0,1.5580642448852292e-12
12416,292,1,202.56,1,1,1,1.01.01.0,3,1,1,0.9999999989429733
12417,46,11,3167.81,3,4,4,3.04.04.0,11,0,0,5.2969836018216153e-11
12418,49,3,1352.62,3,3,3,3.03.03.0,9,0,0,1.1866629117710681e-10
12419,21,2,503.01,3,2,2,3.02.02.0,7,0,0,1.4637648333948892e-13
12421,51,2,291.56,3,2,1,3.02.01.0,6,0,0,2.4786040923706846e-11
12422,30,14,4428.24,3,4,4,3.04.04.0,11,0,0,1.3675570075842964e-12
12423,23,2,763.08,3,2,3,3.02.03.0,8,0,0,4.42513886557506e-13
12424,58,2,1579.07,2,2,3,2.02.03.0,7,0,0,2.2086193878699907e-10
12425,84,1,964.21,2,1,3,2.01.03.0,6,0,0,2.0579545835956758e-08
12426,298,1,762.48,1,1,3,1.01.03.0,5,1,1,0.9999999999219833
12427,7,1,303.5,4,1,1,4.01.01.0,6,0,0,5.886282893508427e-15
12429,1,5,3735.51,4,3,4,4.03.04.0,11,0,0,3.3593197747462606e-14
12431,9,13,4370.52,4,4,4,4.04.04.0,12,0,0,5.669935979138347e-14
12433,2,5,7205.39,4,3,4,4.03.04.0,11,0,0,5.859407379937931e-14
12434,17,1,297.29,4,1,1,4.01.01.0,6,0,0,4.125674472977561e-14
12435,32,4,6096.04,3,3,4,3.03.04.0,10,0,0,1.1302312800662536e-11
12437,31,21,7731.99,3,4,4,3.04.04.0,11,0,0,4.893077667722639e-13
12439,318,2,1158.18,1,2,3,1.02.03.0,6,1,1,0.9999999999990448
12440,98,2,859.2,2,2,3,2.02.03.0,7,0,0,4.957771537673244e-07
12441,2,1,173.55,4,1,1,4.01.01.0,6,0,0,2.192772624859775e-15
12443,368,1,485.31,1,1,2,1.01.02.0,4,1,1,0.9999999999999998
12445,56,1,301.58000000000004,2,1,1,2.01.01.0,4,0,0,2.0693477839650954e-11
12449,46,2,768.6,3,2,3,3.02.03.0,8,0,0,3.906850338158709e-11
12450,35,3,490.32,3,3,2,3.03.02.0,8,0,0,3.5604068989639886e-12
12451,99,3,3634.36,2,3,4,2.03.04.0,9,0,0,2.554153587989802e-06
12454,31,4,13151.44,3,3,4,3.03.04.0,10,0,0,1.9401002561852026e-11
12455,81,4,3413.09,2,3,4,2.03.04.0,9,0,0,5.988888452572078e-08
12457,71,1,632.68,2,1,2,2.01.02.0,5,0,0,7.928999569458636e-10
12458,63,2,830.09,2,2,3,2.02.03.0,7,0,0,5.410004658635343e-10
12459,241,1,454.36,1,1,2,1.01.02.0,4,1,1,0.9999893474278897
12460,92,1,326.65,2,1,2,2.01.02.0,5,0,0,4.5902245461541376e-08
12466,318,1,56.73,1,1,1,1.01.01.0,3,1,1,0.9999999999932196
12467,59,1,132.8,2,1,1,2.01.01.0,4,0,0,3.6473445768346735e-11
12468,162,3,2941.2,1,3,4,1.03.04.0,8,1,0,0.20290101348771084
12469,158,2,3070.54,1,2,4,1.02.04.0,7,1,0,0.06915656353174846
12470,325,1,211.95,1,1,1,1.01.01.0,3,1,1,0.9999999999982936
12471,10,49,20139.74,4,4,4,4.04.04.0,12,3,0,1.1278857628338153e-16
12472,5,13,11308.48,4,4,4,4.04.04.0,12,0,0,5.359700312255817e-14
12474,14,13,5048.66,4,4,4,4.04.04.0,12,0,0,1.61150172954692e-13
12475,45,1,426.26,3,1,2,3.01.02.0,6,0,0,9.771207579722937e-12
12476,32,12,7298.99,3,4,4,3.04.04.0,11,0,0,4.260347578047818e-12
12477,35,3,7056.63,3,3,4,3.03.04.0,10,0,0,2.8029832417207127e-11
12480,35,3,2183.2200000000003,3,3,4,3.03.04.0,10,0,0,1.6869538445320073e-11
12481,1,6,6765.07,4,4,4,4.04.04.0,12,0,0,7.338882246895046e-14
12482,212,29,23691.4,1,4,4,1.04.04.0,9,3,1,0.9955171466872023
12483,14,11,2635.6,4,4,4,4.04.04.0,12,0,0,1.9609019673389226e-13
12484,119,6,1828.43,2,4,4,2.04.04.0,10,0,0,0.00010598270786924857
12485,165,1,708.1,1,1,3,1.01.03.0,5,1,0,0.06674500242846552
12486,67,1,1037.28,2,1,3,2.01.03.0,6,0,0,7.562283307663499e-10
12487,366,1,285.29999999999995,1,1,1,1.01.01.0,3,1,1,0.9999999999999993
12490,14,11,4405.71,4,4,4,4.04.04.0,12,0,0,2.358043023270881e-13
12492,39,1,452.0,3,1,2,3.01.02.0,6,0,0,3.04475292356451e-12
12494,1,3,626.77,4,3,2,4.03.02.0,9,0,0,9.571856302124345e-15
12495,276,1,357.4,1,1,2,1.01.02.0,4,1,1,0.999999988221918
12496,256,2,54.09,1,2,1,1.02.01.0,4,1,1,0.9999992520452635
12497,36,2,5205.400000000001,3,2,4,3.02.04.0,9,0,0,1.762599955141743e-11
12499,196,1,393.72,1,1,2,1.01.02.0,4,1,1,0.9357228021628451
12500,71,8,1697.39,2,4,3,2.04.03.0,9,0,0,2.9170904780725145e-09
12503,220,1,1126.0,1,1,3,1.01.03.0,5,1,1,0.9997022161757789
12504,53,2,297.0,3,2,1,3.02.01.0,6,0,0,3.6613418713514156e-11
12505,44,1,955.2,3,1,3,3.01.03.0,7,0,0,1.693516787666171e-11
12507,220,1,539.25,1,1,2,1.01.02.0,4,1,1,0.9993693229025634
12510,95,7,4195.45,2,4,4,2.04.04.0,10,0,0,1.0114293952431279e-06
12511,64,1,3084.02,2,1,4,2.01.04.0,7,0,0,1.0398873448556955e-09
12514,277,1,580.08,1,1,2,1.01.02.0,4,1,1,0.9999999905287996
12516,66,2,1336.56,2,2,3,2.02.03.0,7,0,0,1.023046528106407e-09
12519,112,1,385.7,2,1,2,2.01.02.0,5,0,0,2.271823413011937e-06
12523,10,12,2582.38,4,4,4,4.04.04.0,12,0,0,7.152648373199189e-14
12524,24,9,6640.39,3,4,4,3.04.04.0,11,0,0,1.6387658099706124e-12
12525,134,3,973.73,2,3,3,2.03.03.0,8,0,0,0.0008866312233000638
12527,130,2,386.8,2,2,2,2.02.02.0,6,0,0,0.00012060058586999997
12529,164,1,316.48,1,1,2,1.01.02.0,4,1,0,0.027571566997484823
12530,51,5,2096.98,3,3,4,3.03.04.0,10,0,0,2.4114751813506786e-10
12531,322,1,1807.98,1,1,4,1.01.04.0,6,1,1,0.9999999999996725
12533,263,2,1367.89,1,2,3,1.02.03.0,6,1,1,0.999999957997842
12537,44,1,732.94,3,1,3,3.01.03.0,7,0,0,1.654750215900713e-11
12538,14,1,276.5,4,1,1,4.01.01.0,6,0,0,2.2949529293243784e-14
12539,86,3,5646.400000000001,2,3,4,2.03.04.0,9,0,0,2.5036619512142683e-07
12540,14,16,8854.25,4,4,4,4.04.04.0,12,0,0,1.2240789925847876e-13
12542,120,2,481.88,2,2,2,2.02.02.0,6,0,0,1.7368475950099618e-05
12543,84,1,980.25,2,1,3,2.01.03.0,6,0,0,2.0613967233255276e-08
12547,136,1,175.78,2,1,1,2.01.01.0,4,0,0,0.00011955502158959914
12549,211,6,1575.68,1,4,3,1.04.03.0,8,1,1,0.999365719833387
12553,21,2,916.47,3,2,3,3.02.03.0,8,0,0,3.045654917402789e-13
12554,84,1,468.5,2,1,2,2.01.02.0,5,0,0,9.806288560573576e-09
12555,318,1,129.23,1,1,1,1.01.01.0,3,1,1,0.9999999999932707
12557,7,4,6725.18,4,3,4,4.03.04.0,11,0,0,1.846285964300117e-13
12562,21,2,1185.18,3,2,3,3.02.03.0,8,0,0,3.13212852023462e-13
12563,44,1,249.24,3,1,1,3.01.01.0,5,0,0,3.961357729339001e-12
12567,3,7,4308.58,4,4,4,4.04.04.0,12,0,0,6.705884356972535e-14
12568,280,1,70.0,1,1,1,1.01.01.0,3,1,1,0.9999999889029912
12570,318,1,77.52,1,1,1,1.01.01.0,3,1,1,0.9999999999932343
12573,17,4,556.87,4,3,2,4.03.02.0,9,0,0,1.7144390791476248e-13
12575,93,2,622.8199999999999,2,2,2,2.02.02.0,6,0,0,9.164791601139905e-08
12576,28,3,826.89,3,3,3,3.03.03.0,9,0,0,1.879643300231029e-12
12577,17,5,995.95,4,3,3,4.03.03.0,10,0,0,2.859458535960524e-13
12578,21,2,1847.94,3,2,4,3.02.04.0,9,0,0,6.688512676495111e-13
12580,212,1,637.2,1,1,2,1.01.02.0,4,1,1,0.9970412390352289
12582,58,2,1469.04,2,2,3,2.02.03.0,7,0,0,2.1834443344929459e-10
12583,9,13,7166.06,4,4,4,4.04.04.0,12,0,0,7.587064181422518e-14
12586,10,3,1865.73,4,3,4,4.03.04.0,11,0,0,2.496897490244698e-13
12588,35,3,743.88,3,3,3,3.03.03.0,9,0,0,7.285740392462814e-12
12589,57,6,4048.98,2,4,4,2.04.04.0,10,0,0,7.602614449515625e-10
12591,26,2,899.3,3,2,3,3.02.03.0,8,0,0,8.051395867215833e-13
12592,155,3,2145.06,1,3,4,1.03.04.0,8,1,0,0.05653516947393334
12594,14,5,1751.89,4,3,4,4.03.04.0,11,0,0,3.4372383241558433e-13
12595,140,1,299.02,1,1,1,1.01.01.0,3,1,0,0.00013243779758177106
12598,99,3,1511.01,2,3,3,2.03.03.0,8,0,0,1.0272291697822067e-06
12599,17,6,1264.14,4,4,3,4.04.03.0,11,0,0,4.685036023849002e-13
12600,7,12,2444.88,4,4,4,4.04.04.0,12,0,0,3.930652768445502e-14
12601,40,1,104.2,3,1,1,3.01.01.0,5,0,0,1.7902233083298662e-12
12605,12,4,1232.95,4,3,3,4.03.03.0,10,0,0,1.3843545849984366e-13
12606,318,1,21.0,1,1,1,1.01.01.0,3,1,1,0.9999999999931943
12608,40,1,415.79,3,1,2,3.01.02.0,6,0,0,3.685590412842742e-12
12609,10,6,2309.01,4,4,4,4.04.04.0,12,0,0,2.662800700190537e-13
12613,24,5,3490.69,3,3,4,3.03.04.0,10,0,0,1.4498492926540801e-12
12615,49,4,3449.79,3,3,4,3.03.04.0,10,0,0,2.352427002068285e-10
12616,24,1,417.8,3,1,2,3.01.02.0,6,0,0,1.6334366703840659e-13
12619,196,1,140.14,1,1,1,1.01.01.0,3,1,1,0.87675658533569
12621,1,16,11086.14,4,4,4,4.04.04.0,12,0,0,1.2276798673589208e-14
12623,52,6,3442.74,3,4,4,3.04.04.0,11,0,0,5.371115076059893e-10
12625,145,2,2481.06,1,2,4,1.02.04.0,7,1,0,0.005522845288078927
12629,21,2,1558.22,3,2,3,3.02.03.0,8,0,0,3.2562616131928066e-13
12631,92,5,2841.07,2,3,4,2.03.04.0,9,0,0,3.8440063125702536e-07
12632,156,2,804.88,1,2,3,1.02.03.0,6,1,0,0.019551269517913115
12633,18,3,3514.18,4,3,4,4.03.04.0,11,0,0,1.408443442489005e-12
12634,171,2,490.0,1,2,2,1.02.02.0,5,1,0,0.1524325897718236
12635,28,2,1241.23,3,2,3,3.02.03.0,8,0,0,1.2317715296662801e-12
12636,374,1,141.0,1,1,1,1.01.01.0,3,1,1,0.9999999999999998
12637,14,4,2318.41,4,3,4,4.03.04.0,11,0,0,4.560905492876331e-13
12638,275,1,249.8,1,1,1,1.01.01.0,3,1,1,0.9999999711571913
12639,70,2,826.27,2,2,3,2.02.03.0,7,0,0,2.1143611191446193e-09
12643,21,6,5005.78,3,4,4,3.04.04.0,11,0,0,1.5079697101016911e-12
12644,66,3,1440.58,2,3,3,2.03.03.0,8,0,0,1.6477676639367826e-09
12645,45,4,1764.12,3,3,4,3.03.04.0,10,0,0,9.05455717948295e-11
12647,3,27,14201.53,4,4,4,4.04.04.0,12,3,0,2.1377872660306326e-15
12648,73,3,793.95,2,3,3,2.03.03.0,8,0,0,6.022695979174465e-09
12649,18,5,1671.14,4,3,3,4.03.03.0,10,0,0,3.72759748143828e-13
12651,14,3,263.75,4,3,1,4.03.01.0,8,0,0,5.818143378612811e-14
12652,70,1,97.05,2,1,1,2.01.01.0,4,0,0,3.0966166650837405e-10
12653,162,1,1950.98,1,1,4,1.01.04.0,6,1,0,0.08294202742643682
12655,59,1,261.35,2,1,1,2.01.01.0,4,0,0,3.6965242810831927e-11
12656,61,3,2356.66,2,3,4,2.03.04.0,9,0,0,1.3642094081973932e-09
12661,72,1,162.0,2,1,1,2.01.01.0,4,0,0,4.602707102216847e-10
12662,9,10,3138.24,4,4,4,4.04.04.0,12,0,0,9.75976559045234e-14
12663,260,2,239.4,1,2,1,1.02.01.0,4,1,1,0.9999996633981806
12664,150,2,1188.16,1,2,3,1.02.03.0,6,1,0,0.006408261377352878
12665,53,2,250.6,3,2,1,3.02.01.0,6,0,0,3.6436841640381424e-11
12666,30,1,1248.42,3,1,3,3.01.03.0,7,0,0,1.142217175012766e-12
12668,14,6,7637.53,4,4,4,4.04.04.0,12,0,0,1.0111677275995515e-12
12670,21,2,764.24,3,2,3,3.02.03.0,8,0,0,2.9977294046927737e-13
12671,242,1,2622.481,1,1,4,1.01.04.0,6,1,1,0.9999982390055624
12672,231,1,211.15,1,1,1,1.01.01.0,3,1,1,0.9998473020020553
12673,37,1,619.5,3,1,2,3.01.02.0,6,0,0,2.098670759330805e-12
12675,189,2,958.5,1,2,3,1.02.03.0,6,1,1,0.9261429640953363
12676,44,5,1511.7,3,3,3,3.03.03.0,9,0,0,2.9116846547334044e-11
12677,191,2,395.1,1,2,2,1.02.02.0,5,1,1,0.8975356864044198
12678,11,9,16652.72,4,4,4,4.04.04.0,12,0,0,7.368023621845292e-13
12681,3,24,17080.74,4,4,4,4.04.04.0,12,3,0,5.647637877123135e-15
12682,1,23,11745.69,4,4,4,4.04.04.0,12,0,0,2.7446104595038283e-15
12683,1,8,4220.21,4,4,4,4.04.04.0,12,0,0,3.598019500831395e-14
12686,7,1,89.14,4,1,1,4.01.01.0,6,0,0,5.756275061610816e-15
12687,116,2,2138.91,2,2,4,2.02.04.0,8,0,0,3.761486182719274e-05
12691,56,1,134.6,2,1,1,2.01.01.0,4,0,0,2.033657419621709e-11
12692,273,1,110.95,1,1,1,1.01.01.0,3,1,1,0.9999999567976531
12693,32,3,847.11,3,3,3,3.03.03.0,9,0,0,4.105483462985783e-12
12694,57,1,973.68,2,1,3,2.01.03.0,6,0,0,1.0711253014880186e-10
12695,164,3,825.02,1,3,3,1.03.03.0,7,1,0,0.13138094561767238
12696,70,2,851.91,2,2,3,2.02.03.0,7,0,0,2.1200170333486625e-09
12698,226,1,339.75,1,1,2,1.01.02.0,4,1,1,0.999799801698496
12699,53,1,638.11,3,1,2,3.01.02.0,6,0,0,4.745501508961288e-11
12701,165,4,1648.7,1,3,3,1.03.03.0,7,1,0,0.13799685866843292
12703,269,3,722.98,1,3,3,1.03.03.0,7,1,1,0.9999999912380954
12705,19,5,4893.81,3,3,4,3.03.04.0,10,0,0,6.336440085901982e-13
12708,4,9,2601.19,4,4,4,4.04.04.0,12,0,0,4.3589097733015326e-14
12709,2,20,21356.82,4,4,4,4.04.04.0,12,0,0,1.7766002325471545e-14
12711,247,2,1339.05,1,2,3,1.02.03.0,6,1,1,0.9999990492377884
12712,1,10,2797.53,4,4,4,4.04.04.0,12,0,0,1.9827808449106657e-14
12714,24,7,9384.85,3,4,4,3.04.04.0,11,0,0,3.412832837538076e-12
12717,226,1,277.93,1,1,1,1.01.01.0,3,1,1,0.9995985135021048
12720,5,6,2478.94,4,4,4,4.04.04.0,12,0,0,1.023435378690954e-13
12721,21,2,1356.95,3,2,3,3.02.03.0,8,0,0,3.1886878571443057e-13
12724,19,3,1286.11,3,3,3,3.03.03.0,9,0,0,3.415964745829239e-13
12725,7,4,2266.76,4,3,4,4.03.04.0,11,0,0,1.160271384349576e-13
12726,23,4,1405.5,3,3,3,3.03.03.0,9,0,0,6.026743050161277e-13
12727,78,3,1698.8300000000002,2,3,3,2.03.03.0,8,0,0,1.752682830298977e-08
12728,19,1,233.84,3,1,1,3.01.01.0,5,0,0,3.0360587158579367e-14
12730,157,1,829.25,1,1,3,1.01.03.0,5,1,0,0.01501693356134158
12731,78,5,6879.8,2,3,4,2.03.04.0,9,0,0,3.830225032482976e-08
12733,25,3,2040.92,3,3,4,3.03.04.0,10,0,0,2.369896788482005e-12
12734,10,2,529.25,4,2,2,4.02.02.0,8,0,0,3.4326619868659134e-14
12737,134,2,3710.5,2,2,4,2.02.04.0,8,0,0,0.0014741131324327234
12738,8,1,155.35,4,1,1,4.01.01.0,6,0,0,7.0425665909995935e-15
12739,21,2,1713.69,3,2,3,3.02.03.0,8,0,0,3.3094373455391005e-13
12741,165,2,406.07,1,2,2,1.02.02.0,5,1,0,0.05249597346357667
12742,261,1,1201.52,1,1,3,1.01.03.0,5,1,1,0.9999998994735343
12744,95,4,4037.77,2,3,4,2.03.04.0,9,0,0,9.770589625581658e-07
12745,122,3,925.41,2,3,3,2.03.03.0,8,0,0,8.526739473176032e-05
12746,176,1,254.55,1,1,1,1.01.01.0,3,1,0,0.12767373432547222
12747,5,16,5080.53,4,4,4,4.04.04.0,12,0,0,1.4312343755088008e-14
12748,1,144,22879.66,4,4,4,4.04.04.0,12,3,0,1.5144157283934227e-26
12749,35,4,2806.48,3,3,4,3.03.04.0,10,0,0,1.4391240085660002e-11
12751,80,1,268.27,2,1,1,2.01.01.0,4,0,0,2.210903652113057e-09
12755,1,10,5218.709999999999,4,4,4,4.04.04.0,12,0,0,2.551707400637614e-14
12758,95,5,7111.650000000001,2,3,4,2.03.04.0,9,0,0,1.0759796048692122e-06
12759,22,5,3489.3,3,3,4,3.03.04.0,10,0,0,9.819129774691433e-13
12760,91,1,347.8,2,1,2,2.01.02.0,5,0,0,3.786146984970294e-08
12761,93,2,782.95,2,2,3,2.02.03.0,7,0,0,1.8572441124512817e-07
12763,5,1,320.08,4,1,2,4.01.02.0,7,0,0,7.959853923380008e-15
12765,108,6,1404.58,2,4,3,2.04.03.0,9,0,0,5.971323748104535e-06
12766,2,3,3078.65,4,3,4,4.03.04.0,11,0,0,5.963982534445724e-14
12767,11,1,949.82,4,1,3,4.01.03.0,8,0,0,5.450820094817332e-14
12768,86,1,168.69000000000003,2,1,1,2.01.01.0,4,0,0,7.040845371214733e-09
12770,92,1,1895.0,2,1,4,2.01.04.0,7,0,0,2.146849754343093e-07
12771,121,1,282.3,2,1,1,2.01.01.0,4,0,0,6.509304912824924e-06
12773,200,1,124.25,1,1,1,1.01.01.0,3,1,1,0.9393202937859491
12774,171,1,98.7,1,1,1,1.01.01.0,3,1,0,0.051571270674511706
12775,24,2,300.08,3,2,1,3.02.01.0,6,0,0,1.289937471451686e-13
12776,303,1,55.5,1,1,1,1.01.01.0,3,1,1,0.9999999998740461
12777,93,1,519.45,2,1,2,2.01.02.0,5,0,0,5.690513141001711e-08
12778,32,3,953.45,3,3,3,3.03.03.0,9,0,0,4.151223286497921e-12
12779,7,7,2740.91,4,4,4,4.04.04.0,12,0,0,1.2413503472479855e-13
12780,234,1,337.4,1,1,2,1.01.02.0,4,1,1,0.9999578412710832
12782,10,6,2287.32,4,4,4,4.04.04.0,12,0,0,2.656789890368703e-13
12784,165,1,1230.33,1,1,3,1.01.03.0,5,1,0,0.07021522389484368
12785,171,2,788.45,1,2,3,1.02.03.0,6,1,0,0.26994008114882095
12786,245,1,728.5,1,1,3,1.01.03.0,5,1,1,0.9999976166991935
12787,49,1,398.52,3,1,2,3.01.02.0,6,0,0,2.1235718509425293e-11
12788,99,4,444.9,2,3,2,2.03.02.0,7,0,0,3.687393729826809e-07
12789,148,2,181.5,1,2,1,1.02.01.0,4,1,0,0.0009893809518349249
12790,46,1,266.93,3,1,1,3.01.01.0,5,0,0,5.859107739490202e-12
12791,9,6,863.51,4,4,3,4.04.03.0,11,0,0,9.458819491981762e-14
12792,170,1,426.47,1,1,2,1.01.02.0,4,1,0,0.08448989731493324
12793,7,2,471.85,4,2,2,4.02.02.0,8,0,0,1.9021873816132494e-14
12796,264,1,381.0,1,1,2,1.01.02.0,4,1,1,0.9999998783454288
12797,1,2,552.08,4,2,2,4.02.02.0,8,0,0,5.961049595973897e-15
12798,57,1,1533.89,2,1,3,2.01.03.0,6,0,0,1.1355055548318534e-10
12799,165,1,219.35,1,1,1,1.01.01.0,3,1,0,0.016824135080104226
12800,106,3,584.25,2,3,2,2.03.02.0,7,0,0,1.829724213684421e-06
12801,136,1,1071.82,2,1,3,2.01.03.0,6,0,0,0.00052112241680799
12802,78,6,1988.84,2,4,4,2.04.04.0,10,0,0,3.666119780551987e-08
12803,29,1,1092.81,3,1,3,3.01.03.0,7,0,0,9.249409234630577e-13
12804,101,2,327.02,2,2,2,2.02.02.0,6,0,0,4.2216831310091555e-07
12805,17,4,1434.95,4,3,3,4.03.03.0,10,0,0,3.7441657741930465e-13
12806,71,4,2878.96,2,3,4,2.03.04.0,9,0,0,8.076859591036883e-09
12807,19,1,330.35,3,1,2,3.01.02.0,6,0,0,6.111922761884167e-14
12808,4,3,422.45,4,3,2,4.03.02.0,9,0,0,1.6808591636682935e-14
12809,201,2,1266.63,1,2,3,1.02.03.0,6,1,1,0.992596751879804
12810,170,2,534.99,1,2,2,1.02.02.0,5,1,0,0.12945973551075413
12811,14,2,519.05,4,2,2,4.02.02.0,8,0,0,7.473833694969913e-14
12813,137,3,1687.8,1,3,3,1.03.03.0,7,0,0,0.0008596971388284779
12817,35,2,524.94,3,2,2,3.02.02.0,7,0,0,2.2427061576781942e-12
12819,94,1,540.52,2,1,2,2.01.02.0,5,0,0,6.929442664443247e-08
12820,33,7,1747.18,3,4,4,3.04.04.0,11,0,0,8.88912157903992e-12
12821,247,1,128.07999999999998,1,1,1,1.01.01.0,3,1,1,0.9999931741015762
12823,30,13,4742.0,3,4,4,3.04.04.0,11,0,0,1.7674604748737904e-12
12825,157,2,518.63,1,2,2,1.02.02.0,5,1,0,0.011662604118548787
12826,1,6,1481.03,4,4,3,4.04.03.0,11,0,0,2.123397431843541e-14
12829,186,1,92.3,1,1,1,1.01.01.0,3,1,1,0.5023116487077158
12831,99,2,236.06,2,2,1,2.02.01.0,5,0,0,1.4212884647689857e-07
12835,63,41,6043.31,2,4,4,2.04.04.0,10,3,0,1.1926780080919517e-12
12836,25,11,3972.76,3,4,4,3.04.04.0,11,0,0,9.638040375140745e-13
12837,205,1,554.31,1,1,2,1.01.02.0,4,1,1,0.9884322540977029
12838,9,9,2715.35,4,4,4,4.04.04.0,12,0,0,1.1681831192807603e-13
12839,3,13,4480.31,4,4,4,4.04.04.0,12,0,0,1.7823178501986584e-14
12840,73,3,1315.2,2,3,3,2.03.03.0,8,0,0,6.358827177925813e-09
12841,5,17,3518.33,4,4,4,4.04.04.0,12,0,0,9.72334578282217e-15
12842,40,2,799.0,3,2,3,3.02.03.0,8,0,0,1.2179836322182468e-11
12843,18,22,4886.15,4,4,4,4.04.04.0,12,0,0,4.6066899977591197e-14
12844,78,2,322.64,2,2,2,2.02.02.0,6,0,0,4.782307828371168e-09
12846,318,1,15.58,1,1,1,1.01.01.0,3,1,1,0.9999999999931906
12847,23,1,765.36,3,1,3,3.01.03.0,7,0,0,2.7780258993847646e-13
12848,311,1,208.0,1,1,1,1.01.01.0,3,1,1,0.9999999999739047
12849,17,4,2039.67,4,3,4,4.03.04.0,11,0,0,7.947285098473097e-13
12850,81,1,330.0,2,1,2,2.01.02.0,5,0,0,5.388367725856637e-09
